state,unemploy
Alabama,5.9
Alaska,7.8
Arizona,7.9
Arkansas,6.1
California,10.1
Colorado,7.3
Connecticut,7.9
Delaware,7.8
Florida,7.7
Georgia,6.5
Hawaii,11.6
Idaho,5.4
Illinois,9.5
Indiana,7.1
Iowa,5.3
Kansas,5.9
Kentucky,6.6
Louisiana,8.3
Maine,5.4
Maryland,6.8
Massachusetts,8.9
Michigan,9.9
Minnesota,6.2
Mississippi,8.1
Missouri,6.1
Montana,5.9
Nebraska,4.2
Nevada,12.8
New Hampshire,6.7
New Jersey,9.8
New Mexico,8.4
New York,10
North Carolina,7.3
North Dakota,5.1
Ohio,8.1
Oklahoma,6.1
Oregon,7.6
Pennsylvania,9.1
Rhode Island,9.4
South Carolina,6.2
South Dakota,4.6
Tennessee,7.5
Texas,7.6
Utah,4.7
Vermont,5.6
Virginia,6.2
Washington,8.4
West Virginia,8.3
Wisconsin,6.3
Wyoming,5.8
